text,aspect1,aspect2,aspect3,aspect4,aspect5,aspect6,aspect7,aspect8,aspect9
sản_phẩm tốt_đẹp keng tiếc không android 9 không sim chủ shop nhiệt_tình,0,1,0,0,0,0,1,0,0
máy máy đẹp lắm tốt chưa trả_lời nhiệt ơn shop,0,1,0,0,0,0,1,0,0
máy đẹp hàng đúng chuẩn shop uy_tín giao hàng nhanh chất_lượng đúng như quảng_bá giá_cả hợp_lý máy đẹp ứng_dụng chạy ổn_định chức_năng cơ_bản hoạt_động tốt màn_hình cảm_ứng nhạy màu_sắc rực_rỡ hài_lòng vừa_ý ủng_hộ shop đơn hàng,1,1,1,1,1,0,0,0,0
shop uy_tín máy lỗi khay sim shop đổi máy,0,0,0,0,0,0,1,0,0
trừ 1 báo số_liệu pin chưa chính_xác nha shop tư_vấn nhiệt_tình,0,0,0,0,0,0,1,0,0
máy tầm 90 % ngoại_hình áp oke ! máy đẹp ! thử tạm ổn ! tặng shop 5,0,1,0,0,0,0,0,0,0
shop dễ_thương uy_tín hàng chất_lượng chuẩn test đúng hàng hãng chi tự_tin mua hàng shop 5 *,0,0,0,0,0,1,1,0,0
sản_phẩm shopee chất_lượng máy tốt hình_thức đẹp chức_năng hoạt_động ổn_định màn_hình màu_sắc rực_rỡ như mong_đợi tiên mua hàng shope đồng_tiền bát gạo giới_thiệu shope bạn_bè người_thân ủng_hộ 👍,1,1,1,0,1,0,0,0,0
màn xước góc_cạnh móp ipad 4 không đòi_hỏi : ),1,1,0,0,0,0,0,0,0
hàng đẹp đóng_gói cẩn_thận cài đủ ứng_dụng shop phục_vụ nhiệt_tình thắc_mắc tin_cậy ủng_hộ shop tiếp,0,1,0,1,0,0,1,0,0
đóng_gói cẩn_thận thử,0,0,0,1,0,0,0,0,0
j5 chup hinh net xai 2 sim tien loi ung_ho shop 5,0,0,0,0,0,0,0,0,0
máy đẹp ngon chức_năng hoạt_động ổn_định shop giao hàng nhanh nhân_viên tư_vấn nhiệt_tình an_tâm sản_phẩm shop,0,1,1,1,0,0,1,0,0
đóng_gói sản_phẩm đẹp chắc_chắn điện_thoại đẹp cảm_nhận ban_đầu máy nhanh nóng tạm ổn giá tốt,0,1,1,1,1,0,0,0,0
máy ful box đầy_đủ phụ_kiện như shop mô_tả chất_lượng máy tốt cấu_hình mạnh game lướt web mượt hài_lòng shop phục_vụ nhiệt_tình_nhân_viên vui_vẻ chuyên_nghiệp giới_thiệu bạn_bè người_thân ủng_hộ shop,1,1,1,0,0,0,1,1,0
hàng đẹp đóng_gói cẩn_thận,0,1,0,1,0,0,0,0,0
tạm ổn màn_hình dăm máy 95 96 %,1,0,0,0,0,0,0,0,0
