authenticity,delivery,price,service,accessories,appearance,hardware,performance
bị khui seal,cực lâu,bình_dân,bảo_hành,cáp sạc,bao đẹp,âm_thanh,bật không lên nguồn
check không imei,đóng_gói,deal,cọc_cằn thô_lỗ,củ sạc,bắt mắt,bắt sóng,bị đứng
chính_hãng,đúng giờ,đáng đồng tiền,cskh,đầy đủ,bị cấn,bị phù pin,bị lỗi liên_tục
fullbox,đúng hẹn,đáng giá tiền,chăm_sóc,được tặng cái bao da,build,bộ_nhớ,bị nóng
hàng chính_hãng VNA,đúng ngày hẹn,đáng mua,chăm_sóc khách_hàng,được tặng case,cầm nắm,cảm ứng bị chậm,cảm ứng bị chậm
hàng chuẩn,gói hàng,đáng tiền,chế_độ hậu_mãi,được tặng thêm,đầm tay,cảm_ứng,chạy chậm
hàng mới 100% tốt,giao đúng hạn,được giảm,chủ shop,full phụ kiện,đẹp,camera,chạy tốt
hàng ngon,giao đúng ngày,flashsale,chu_đáo,không có kèm,đẹp keng,chụp hình,chức_năng hoạt_động
hàng nguyên hộp,giao hàng,giá,chuyên nghiệp,không có tai_nghe,ép không kín,đủ dùng,dùng bao phê
hàng nguyên seal,giao hàng,giá mềm,dịch_vụ,phụ kiện,hầm hố,hao pin,đáp_ứng tốt nhu_cầu cơ_bản
hàng tàu,giao nhanh,giá ngon,đánh_giá thấp,sạc,hình_thức,hơi nóng,độ mượt
imei,giao tận_tay,giá rẻ,hỗ trợ,ốp lưng,hoàn_thiện tốt,không nhạy,đơ
không còn nguyên seal,giao trước hẹn,giá sale rất ổn,kỹ_thuật viên,ốp,hơi bé,không sạc được,đơ giật lag
LL/A,hơi lâu,giá tiền,không cho trả hàng,tai_nghe,không đẹp,loa ngoài,đứng màn
máy chính_hãng,mãi mới giao tới,giá_cả,không giải_đáp thắc_mắc,,không trầy,loa thoại,giật
nghi_ngờ không phải seal thật,nhanh gọn,giá_thành,không tương_tác,,khung viền,màn,hiệu_năng
nguyên đai nguyên kiện,nhanh hơn dự_kiến,hoàn xu,không thèm trả_lời,,lõm,màn_hình,hoạt_động
nguyên hộp,nhanh_chóng,hời,không thiện chí,,màu đẹp,mic,không mượt
nguyên seal,nhận được khá nhanh,hợp túi tiền,không trả_lời,,mặt lưng,micro,không nhạy
nguyên vẹn,quá lâu,khuyến_mãi,lịch_sự,,mẫu_mã,nóng máy,khởi_động
như máy cũ,quá lâu,khuyến_mại,lừa,,mong_manh dễ vỡ,nghe rất hay,lag
sản_phẩm chính_hãng,ship,mắc,nhà bán hàng,,móp,nghe to,lag quá
seal,shipper,phù_hợp túi_tiền,nhắn tin,,mới,nhanh hết pin,mạnh
tem niêm_phong,sớm hơn thời_hạn,quá hời rồi,nhân_viên,,mới 99%,pin,mượt
VNA,trễ,quá ngon trong tầm giá,nhân_viên hỗ_trợ,,ngoại_hình,pin cũng lâu lắm rồi,mượt_mà
,trễ hơn dự_kiến,rẻ,nhân_viên phục_vụ,,ọp_ẹp,pin cực trâu,nhanh nóng
,vận_chuyển,rẻ hơn thị_trường,nhân_viên tư_vấn,,sáng mịn,pin đủ sử dụng,ổn_định
,,sale,như bố đời,,thân máy,pin trâu,phần_mềm
,,siêu rẻ,phản_hồi,,thiết_kế,ram,rất mượt
,,tăng giá bất thường,phong_cách phục_vụ,,trầy,rè,trơn_tru
,,tầm giá,phục_vụ,,trọng_lượng,sạc không nhanh,ứng_dụng
,,tiết_kiệm,rep,,vẻ ngoài,sụt nhanh,
,,ưu_đãi,shop,,xinh_xắn,thẻ_nhớ,
,,vô_địch,tận_tâm,,xước,xài hao,
,,vừa túi tiền,tận_tình,,zin 100%,,
,,xu,tin_tưởng,,,,
,,,tổng_đài,,,,
,,,tư_vấn,,,,
,,,thái_độ,,,,
,,,thanh_toán,,,,
,,,thờ_ơ,,,,
,,,trả_lời,,,,
,,,uy_tín,,,,
,,,xử_lý đơn hàng,,,,

